,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
231,Biltine,TD,76.33,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
233,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
237,Petropavlovka,RU,75.96,few clouds,50.6114,105.3196,Tuyaa
239,Sulangan,PH,84.4,few clouds,11.1373,123.7228,Maia's Beach Resort
240,Payson,US,81.27,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
242,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
246,Komsomolskiy,UZ,83.55,broken clouds,40.4272,71.7189,Ikathouse
249,Saint-Leu,RE,76.03,clear sky,-21.15,55.2833,La Caz Oceane
254,Hovd,MN,75.74,overcast clouds,48.0056,91.6419,Hotel Khovd
257,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
264,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
267,Mitsamiouli,KM,76.77,clear sky,-11.3847,43.2844,Foyer ADM
269,Lasem,ID,89.87,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
271,Sao Filipe,CV,75.88,scattered clouds,14.8961,-24.4956,Hotel Xaguate
274,Greenville,US,80.89,clear sky,35.6127,-77.3663,the 5th Street Inn
275,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
276,Daru,PG,79.09,overcast clouds,-9.0763,143.2092,Daru Lodge
278,Redmond,US,84.52,few clouds,47.674,-122.1215,Seattle Marriott Redmond
282,Taitung,TW,88.07,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
283,Kudahuvadhoo,MV,82.53,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
284,Palmer,US,75.02,clear sky,42.1584,-72.3287,Wedgewood Motel
285,Salar,ES,84.81,scattered clouds,37.1499,-4.0191,Cortijo de Tajar Hotel
288,Meulaboh,ID,82.92,overcast clouds,4.1363,96.1285,Kost Pria
294,Lensk,RU,85.51,broken clouds,60.7253,114.9278,ТинОрС
295,Guerrero Negro,MX,78.01,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
299,Marawi,PH,75.65,moderate rain,7.9986,124.2928,Derogongan Residence
300,Misratah,LY,81.99,clear sky,32.3754,15.0925,فندق الماسة
311,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
312,Keningau,MY,86.45,overcast clouds,5.3378,116.1602,Sabindo Hotel
314,Lorengau,PG,81.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
316,Popondetta,PG,75.74,overcast clouds,-8.7537,148.2534,Timos Transit House
320,Tual,ID,81.12,broken clouds,-5.6667,132.75,Grand Vilia Hotel
321,Rincon,US,83.86,clear sky,32.296,-81.2354,Days Inn Rincon
322,Acapulco,MX,79.43,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
327,Virginia Beach,US,85.01,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
328,Kapoeta,SS,76.32,light rain,4.7717,33.5903,Eastgate Hotel
341,Fukue,JP,79.16,heavy intensity shower rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
353,Ormara,PK,80.82,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
354,Linqiong,CN,82.22,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
360,Bowen,AU,77.22,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
361,Tomatlan,MX,75.56,scattered clouds,19.9333,-105.25,El Salvial
362,Salinopolis,BR,79.57,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
365,Labuhan,ID,88.23,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
