,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
79,Parincea,46.4833,27.1,73.0,46,0,3.44,RO,clear sky
80,Faanui,-16.4833,-151.75,78.48,69,65,10.63,PF,broken clouds
81,Puerto Ayora,-0.7393,-90.3518,76.96,71,95,11.99,EC,overcast clouds
82,Roma,43.2128,-75.4557,89.11,68,77,1.99,US,broken clouds
83,Saldanha,-33.0117,17.9442,53.65,66,0,10.6,ZA,clear sky
84,Kovdor,67.5662,30.4758,55.35,88,95,4.83,RU,overcast clouds
85,Saint George,37.1041,-113.5841,97.54,31,93,3.0,US,overcast clouds
86,Dawson Creek,55.7666,-120.2362,82.04,30,1,16.11,CA,clear sky
87,Saskylakh,71.9167,114.0833,48.15,73,99,7.61,RU,overcast clouds
88,Port Alfred,-33.5906,26.891,56.48,66,52,9.82,ZA,light rain
89,Talnakh,69.4865,88.3972,54.63,76,100,6.22,RU,overcast clouds
90,Bethel,41.3712,-73.414,95.11,60,30,1.01,US,scattered clouds
91,Voh,-20.9667,164.7,60.42,82,1,4.52,NC,clear sky
92,Proletariy,58.4342,31.7046,61.09,81,39,6.11,RU,scattered clouds
93,Sangar,63.9242,127.4739,61.86,52,76,3.94,RU,broken clouds
94,Port Lincoln,-34.7333,135.8667,50.68,86,0,6.26,AU,clear sky
95,Santo Domingo,18.5001,-69.9886,91.04,67,20,4.0,DO,few clouds
96,Moradabad,28.8333,78.7833,82.69,66,100,2.33,IN,overcast clouds
97,Yellowknife,62.456,-114.3525,63.12,67,75,12.66,CA,broken clouds
98,Douglas,41.3,-96.167,84.38,44,1,1.99,US,clear sky
99,Yamada,39.4667,141.95,67.37,96,100,11.95,JP,light rain
100,Kruisfontein,-34.0033,24.7314,46.89,82,14,4.5,ZA,light rain
101,Vaini,-21.2,-175.2,64.56,94,75,6.91,TO,broken clouds
102,Rio Grande,-32.035,-52.0986,60.94,71,94,11.86,BR,overcast clouds
103,Lebu,-37.6167,-73.65,52.34,67,0,7.02,CL,clear sky
104,Haines Junction,60.7522,-137.5108,53.55,94,100,1.14,CA,moderate rain
105,Hilo,19.7297,-155.09,74.25,88,90,0.0,US,moderate rain
106,Yanam,16.7333,82.2167,79.84,87,100,3.38,IN,overcast clouds
107,Skegness,53.1436,0.3363,72.34,62,81,18.59,GB,broken clouds
108,Olavarria,-36.8927,-60.3225,53.91,55,18,8.79,AR,few clouds
109,Sept-Iles,50.2001,-66.3821,73.26,84,75,5.01,CA,fog
110,Sari,36.5633,53.0601,83.79,74,40,4.61,IR,scattered clouds
111,San Quintin,30.4833,-115.95,79.66,56,6,12.53,MX,clear sky
112,Oxapampa,-10.5775,-75.4017,69.78,64,96,4.85,PE,overcast clouds
113,Saint-Philippe,-21.3585,55.7679,71.19,80,19,5.77,RE,few clouds
114,Gusino,54.7244,31.368,60.24,74,38,5.73,RU,scattered clouds
115,Severo-Kurilsk,50.6789,156.125,52.72,92,7,7.56,RU,clear sky
116,Farah,32.5,62.5,87.06,14,0,13.13,AF,clear sky
117,Quatre Cocos,-20.2078,57.7625,68.11,82,20,5.61,MU,few clouds
118,Yomou,7.5603,-9.2653,71.87,97,99,3.83,GN,light rain
119,Bambanglipuro,-7.95,110.2833,75.97,87,50,6.15,ID,scattered clouds
120,Nhulunbuy,-12.2333,136.7667,77.61,78,75,12.66,AU,broken clouds
121,Salinopolis,-0.6136,-47.3561,81.45,83,60,14.5,BR,broken clouds
122,Rafai,4.95,23.9167,69.35,97,97,2.28,CF,overcast clouds
123,Saint-Louis,16.3333,-15.0,102.45,27,14,9.19,SN,few clouds
124,Port Said,31.2565,32.2841,84.18,70,0,11.5,EG,clear sky
125,Moose Factory,51.2585,-80.6094,64.4,55,90,9.22,CA,overcast clouds
126,Nome,64.5011,-165.4064,41.16,80,95,9.33,US,overcast clouds
127,Zvishavane,-20.3267,30.0665,55.38,87,70,15.61,ZW,broken clouds
128,Nargana,9.4428,-78.5906,82.69,79,97,7.27,PA,overcast clouds
129,Skibotn,69.3913,20.2679,53.69,89,99,2.91,NO,overcast clouds
130,Cornwall,45.0181,-74.7281,85.96,44,27,12.8,CA,scattered clouds
131,Kangaatsiaq,68.3065,-53.4641,44.92,87,100,2.77,GL,light rain
132,Yarada,17.65,83.2667,80.92,89,75,3.44,IN,thunderstorm
133,Puerto Escondido,15.85,-97.0667,87.08,65,54,6.85,MX,broken clouds
134,Sydney,-33.8679,151.2073,48.72,80,0,8.05,AU,clear sky
135,Santa Maria,-29.6842,-53.8069,65.5,59,75,14.97,BR,broken clouds
136,Sur,22.5667,59.5289,87.55,59,100,13.09,OM,overcast clouds
137,East London,-33.0153,27.9116,52.74,93,20,5.75,ZA,light rain
138,Otorohanga,-38.1833,175.2,46.54,98,89,3.02,NZ,overcast clouds
139,Sunrise Manor,36.2111,-115.0731,100.45,37,95,1.01,US,overcast clouds
140,Dunedin,-45.8742,170.5036,48.79,46,37,4.0,NZ,scattered clouds
141,Barrow,71.2906,-156.7887,34.48,97,100,10.85,US,overcast clouds
142,Ahuimanu,21.4447,-157.8378,79.86,79,21,14.76,US,few clouds
143,Avarua,-21.2078,-159.775,64.45,100,75,3.44,CK,broken clouds
144,Santiago Del Estero,-27.7951,-64.2615,62.8,19,0,3.6,AR,clear sky
145,Stornoway,58.2093,-6.3865,58.96,77,40,16.11,GB,scattered clouds
146,Cap Malheureux,-19.9842,57.6142,68.49,84,16,4.0,MU,few clouds
147,Leningradskiy,69.3833,178.4167,40.44,96,100,2.95,RU,overcast clouds
148,Port Elizabeth,-33.918,25.5701,50.29,71,20,5.75,ZA,few clouds
149,Nosy Varika,-20.5833,48.5333,69.1,90,2,4.47,MG,clear sky
150,Benalla,-36.55,145.9833,35.35,94,6,3.29,AU,clear sky
151,Esperance,-33.8667,121.9,48.04,50,0,10.16,AU,clear sky
152,Iqaluit,63.7506,-68.5145,42.53,100,75,11.5,CA,fog
153,Maraa,-1.8333,-65.3667,87.04,58,97,3.47,BR,moderate rain
154,Sena Madureira,-9.0656,-68.6569,98.85,22,0,2.93,BR,clear sky
155,Jalu,29.0331,21.5482,95.85,23,0,15.14,LY,clear sky
156,Kamen-Na-Obi,53.7884,81.3423,49.32,94,90,7.16,RU,overcast clouds
157,Berlevag,70.8578,29.0864,52.07,94,99,8.03,NO,overcast clouds
158,Pemangkat,1.1667,108.9667,77.02,89,100,5.06,ID,overcast clouds
159,Parrita,9.5201,-84.3225,91.17,74,96,5.82,CR,overcast clouds
160,Sambava,-14.2667,50.1667,72.01,89,22,11.43,MG,light rain
161,Monroe,43.1501,-77.6831,87.85,70,65,3.0,US,broken clouds
162,Takoradi,4.8845,-1.7554,77.29,74,100,10.85,GH,overcast clouds
163,Constitucion,-35.3333,-72.4167,56.34,66,6,8.81,CL,clear sky
164,Backi Jarak,45.3703,19.875,87.22,28,41,6.76,RS,scattered clouds
165,Meulaboh,4.1363,96.1285,74.37,96,100,5.95,ID,overcast clouds
166,Kodiak,57.79,-152.4072,53.24,72,5,3.98,US,clear sky
167,Chuy,-33.6971,-53.4616,56.16,67,1,8.01,UY,clear sky
168,Palauig,15.435,119.9045,81.07,79,89,3.15,PH,overcast clouds
169,Komsomolskiy,40.4272,71.7189,83.12,21,52,23.02,UZ,broken clouds
170,Roald,62.5833,6.1333,64.17,82,75,10.36,NO,broken clouds
171,Marzuq,14.4,46.4667,86.47,38,6,6.49,YE,clear sky
172,Lasa,46.6166,10.7002,75.61,71,94,1.12,IT,overcast clouds
173,Cap-Haitien,19.7578,-72.2042,82.92,74,91,12.28,HT,overcast clouds
174,Dabat,12.9842,37.765,53.96,92,69,1.81,ET,light rain
175,Moa,20.6569,-74.9403,78.26,87,100,3.24,CU,overcast clouds
176,Marsh Harbour,26.5412,-77.0636,85.23,69,36,16.06,BS,scattered clouds
177,Sokoto,13.0609,5.239,78.55,78,100,3.6,NG,light rain
178,Narsaq,60.9167,-46.05,53.62,69,80,4.5,GL,broken clouds
179,Broome,42.2506,-75.833,90.7,62,66,4.0,US,broken clouds
180,Deputatskiy,69.3,139.9,44.64,86,99,5.23,RU,light rain
181,Guerrero Negro,27.9769,-114.0611,83.37,63,2,9.89,MX,clear sky
182,Tual,-5.6667,132.75,80.01,83,87,20.24,ID,overcast clouds
183,Whitley Bay,55.0397,-1.4471,67.06,62,40,12.66,GB,scattered clouds
184,Havoysund,70.9963,24.6622,52.68,87,97,14.05,NO,overcast clouds
185,Port Hedland,-20.3167,118.5667,60.85,48,0,9.22,AU,clear sky
186,Paita,-5.0892,-81.1144,75.76,73,49,13.51,PE,scattered clouds
187,Itoman,26.1247,127.6694,80.98,94,40,14.97,JP,scattered clouds
188,Butaritari,3.0707,172.7902,81.59,76,45,9.28,KI,light rain
189,Lavrentiya,65.5833,-171.0,43.54,81,100,7.05,RU,light rain
190,Lagoa,39.05,-27.9833,73.94,77,43,2.44,PT,scattered clouds
191,Ponta Do Sol,32.6667,-17.1,77.72,74,0,3.74,PT,clear sky
192,Oistins,13.0667,-59.5333,87.89,74,20,17.27,BB,few clouds
193,Salalah,17.0151,54.0924,76.14,87,52,7.29,OM,broken clouds
194,Khorramshahr,30.4397,48.1664,105.76,10,0,6.91,IR,clear sky
195,Raudeberg,61.9875,5.1352,62.38,79,100,1.05,NO,overcast clouds
196,Lamar,33.6668,-95.5836,97.65,55,87,4.25,US,overcast clouds
197,Coquimbo,-29.9533,-71.3436,55.13,66,0,10.36,CL,clear sky
198,Litovko,49.2361,135.1742,57.34,85,73,1.32,RU,broken clouds
199,Sao Francisco,-15.9486,-44.8644,89.29,21,24,6.98,BR,few clouds
200,Kavarskas,55.4333,24.9167,64.22,73,99,4.68,LT,overcast clouds
201,Sakakah,29.9697,40.2064,96.37,16,0,10.87,SA,clear sky
202,Aktau,43.65,51.2,84.78,34,1,6.33,KZ,clear sky
203,Portland,45.5234,-122.6762,88.61,57,38,1.1,US,scattered clouds
