,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,Khatanga,71.9667,102.5,51.89,68,100,overcast clouds,RU,2021-08-13 02:55:09
65,Tabuk,17.4189,121.4443,80.74,74,100,light rain,PH,2021-08-13 02:55:10
66,Srednekolymsk,67.45,153.6833,71.19,57,100,light rain,RU,2021-08-13 02:55:10
67,Mao,39.8885,4.2658,75.76,88,0,clear sky,ES,2021-08-13 02:55:10
68,Richards Bay,-28.783,32.0377,61.21,67,100,light rain,ZA,2021-08-13 02:55:11
69,Barrow,71.2906,-156.7887,33.66,81,100,overcast clouds,US,2021-08-13 02:53:38
70,Flinders,-34.5833,150.8552,67.17,47,0,clear sky,AU,2021-08-13 02:55:11
71,Kapaa,22.0752,-159.319,84.52,67,40,scattered clouds,US,2021-08-13 02:52:56
72,Saint George,37.1041,-113.5841,91.99,27,20,few clouds,US,2021-08-13 02:53:01
73,Kisangani,0.5167,25.2,69.28,99,99,moderate rain,CD,2021-08-13 02:55:12
74,Veraval,20.9,70.3667,81.23,81,100,overcast clouds,IN,2021-08-13 02:55:12
75,Abha,18.2164,42.5053,64.22,72,0,clear sky,SA,2021-08-13 02:55:13
76,Namibe,-15.1961,12.1522,60.8,88,0,clear sky,AO,2021-08-13 02:55:06
77,Tuktoyaktuk,69.4541,-133.0374,46.4,93,90,light intensity shower rain,CA,2021-08-13 02:55:13
78,Georgetown,5.4112,100.3354,85.89,75,20,few clouds,MY,2021-08-13 02:54:16
79,Fairbanks,64.8378,-147.7164,59.34,86,90,light intensity shower rain,US,2021-08-13 02:51:31
80,Cakovec,46.3844,16.4339,65.57,99,47,scattered clouds,HR,2021-08-13 02:55:14
81,Rawson,-43.3002,-65.1023,51.82,33,0,clear sky,AR,2021-08-13 02:50:51
82,Ossora,59.2353,163.0719,65.79,59,8,clear sky,RU,2021-08-13 02:55:14
83,Haines Junction,60.7522,-137.5108,60.75,67,100,light rain,CA,2021-08-13 02:55:15
84,Cherskiy,68.75,161.3,58.66,79,100,overcast clouds,RU,2021-08-13 02:55:15
85,Luderitz,-26.6481,15.1594,51.58,71,0,clear sky,NA,2021-08-13 02:55:16
86,Kaabong,3.4836,34.1492,63.59,70,20,few clouds,UG,2021-08-13 02:55:16
87,Thompson,55.7435,-97.8558,51.96,66,90,overcast clouds,CA,2021-08-13 02:55:16
88,High Level,58.5169,-117.136,71.71,53,75,broken clouds,CA,2021-08-13 02:55:17
89,Metro,-5.1131,105.3067,85.41,57,48,scattered clouds,ID,2021-08-13 02:55:17
90,Yerbogachen,61.2767,108.0108,78.1,43,97,overcast clouds,RU,2021-08-13 02:55:17
91,Shakawe,-18.3667,21.85,56.05,30,0,clear sky,BW,2021-08-13 02:55:18
92,Ribeira Grande,38.5167,-28.7,73.47,86,47,scattered clouds,PT,2021-08-13 02:55:18
93,Ewa Beach,21.3156,-158.0072,85.37,60,40,scattered clouds,US,2021-08-13 02:51:55
94,Faanui,-16.4833,-151.75,79.11,69,9,clear sky,PF,2021-08-13 02:55:18
95,Jardim,-21.4803,-56.1381,55.53,69,71,broken clouds,BR,2021-08-13 02:55:19
96,Nisia Floresta,-6.0911,-35.2086,75.58,90,0,clear sky,BR,2021-08-13 02:55:19
97,San Policarpo,12.1791,125.5072,85.01,65,100,light rain,PH,2021-08-13 02:55:20
98,Chardara,41.2547,67.9692,77.5,39,30,scattered clouds,KZ,2021-08-13 02:55:20
99,Geraldton,-28.7667,114.6,61.21,55,0,clear sky,AU,2021-08-13 02:55:20
100,Aliwal North,-30.6937,26.7114,38.01,72,6,clear sky,ZA,2021-08-13 02:55:21
101,Avarua,-21.2078,-159.775,64.45,94,75,heavy intensity rain,CK,2021-08-13 02:55:21
102,Castro,-24.7911,-50.0119,47.71,98,100,overcast clouds,BR,2021-08-13 02:55:22
103,Iqaluit,63.7506,-68.5145,40.73,100,90,light intensity drizzle,CA,2021-08-13 02:55:22
104,Chokurdakh,70.6333,147.9167,61.86,62,91,overcast clouds,RU,2021-08-13 02:55:22
105,Lensk,60.7253,114.9278,81.77,48,52,broken clouds,RU,2021-08-13 02:55:23
106,Yenagoa,4.9247,6.2642,72.48,92,76,broken clouds,NG,2021-08-13 02:55:23
107,Dano,11.15,-3.0667,72.16,94,100,light rain,BF,2021-08-13 02:55:23
108,Zambezi,-13.5432,23.1047,51.76,31,0,clear sky,ZM,2021-08-13 02:55:24
109,Cape Town,-33.9258,18.4232,52.12,76,0,clear sky,ZA,2021-08-13 02:54:31
110,Grants,35.1473,-107.8514,68.23,56,90,light rain,US,2021-08-13 02:55:24
111,Bluff,-46.6,168.3333,52.81,74,13,few clouds,NZ,2021-08-13 02:55:25
112,Albany,42.6001,-73.9662,74.16,94,88,overcast clouds,US,2021-08-13 02:55:25
113,Araquari,-26.3703,-48.7211,56.37,96,100,heavy intensity rain,BR,2021-08-13 02:55:25
114,Cabo San Lucas,22.8909,-109.9124,84.51,78,100,overcast clouds,MX,2021-08-13 02:53:26
115,Broome,42.2506,-75.833,74.68,95,91,overcast clouds,US,2021-08-13 02:55:26
116,Atar,20.5169,-13.0499,91.53,15,72,broken clouds,MR,2021-08-13 02:55:27
117,Kathmandu,27.7167,85.3167,75.42,88,75,broken clouds,NP,2021-08-13 02:55:27
118,Cidreira,-30.1811,-50.2056,56.32,81,100,overcast clouds,BR,2021-08-13 02:55:27
119,Petropavlovsk-Kamchatskiy,53.0452,158.6483,66.79,56,20,few clouds,RU,2021-08-13 02:55:28
120,Bairiki,1.3292,172.9752,86.0,70,20,few clouds,KI,2021-08-13 02:55:28
121,Shingu,33.7333,135.9833,79.92,92,100,heavy intensity rain,JP,2021-08-13 02:55:29
122,Upernavik,72.7868,-56.1549,42.96,87,100,overcast clouds,GL,2021-08-13 02:55:29
123,Talaya,61.3833,152.75,79.95,36,15,few clouds,RU,2021-08-13 02:55:29
124,Qaanaaq,77.484,-69.3632,36.05,70,15,few clouds,GL,2021-08-13 02:55:30
125,Kahului,20.8947,-156.47,85.26,73,24,few clouds,US,2021-08-13 02:55:30
126,Komsomolskiy,40.4272,71.7189,81.32,28,77,broken clouds,UZ,2021-08-13 02:52:49
127,San Juan,-31.5375,-68.5364,50.94,39,0,clear sky,AR,2021-08-13 02:53:06
128,Waingapu,-9.6567,120.2641,87.31,59,7,clear sky,ID,2021-08-13 02:55:31
129,Praia,14.9215,-23.5087,75.74,78,20,few clouds,CV,2021-08-13 02:55:31
130,Falmouth,50.1544,-5.0711,59.9,100,100,overcast clouds,GB,2021-08-13 02:55:31
131,Ahipara,-35.1667,173.1667,57.18,91,100,overcast clouds,NZ,2021-08-13 02:55:32
132,Nuuk,64.1835,-51.7216,46.9,76,88,overcast clouds,GL,2021-08-13 02:55:32
133,Port Lincoln,-34.7333,135.8667,60.19,65,14,few clouds,AU,2021-08-13 02:55:32
134,Aklavik,68.2191,-135.0107,52.63,89,100,overcast clouds,CA,2021-08-13 02:55:33
135,Taian,36.1853,117.12,79.03,69,100,overcast clouds,CN,2021-08-13 02:55:33
136,Kulhudhuffushi,6.6221,73.07,82.71,73,100,overcast clouds,MV,2021-08-13 02:55:34
137,Alta Floresta,-9.8756,-56.0861,73.47,35,71,broken clouds,BR,2021-08-13 02:55:34
138,Comodoro Rivadavia,-45.8667,-67.5,60.66,27,0,clear sky,AR,2021-08-13 02:55:34
139,Ulaanbaatar,47.9077,106.8832,66.33,55,40,scattered clouds,MN,2021-08-13 02:52:28
140,Coahuayana,18.7333,-103.6833,78.21,87,49,scattered clouds,MX,2021-08-13 02:55:35
141,Qasigiannguit,68.8193,-51.1922,45.12,68,100,overcast clouds,GL,2021-08-13 02:55:35
142,Tezu,27.9167,96.1667,75.54,100,100,overcast clouds,IN,2021-08-13 02:55:36
143,Namatanai,-3.6667,152.4333,83.88,71,100,overcast clouds,PG,2021-08-13 02:55:36
144,Teguldet,57.3064,88.1667,52.47,98,100,overcast clouds,RU,2021-08-13 02:55:36
145,Naze,28.3667,129.4833,83.32,82,97,overcast clouds,JP,2021-08-13 02:55:37
146,Pisco,-13.7,-76.2167,60.85,82,0,clear sky,PE,2021-08-13 02:55:37
147,Prince Rupert,54.3161,-130.3201,73.49,77,1,clear sky,CA,2021-08-13 02:55:37
148,Karratha,-20.7377,116.8463,78.06,21,0,clear sky,AU,2021-08-13 02:55:38
